surrogate_key,natural_key,sku,product_name,price,brand,material,shape,dimension,origin,quantity_available,product_url,id_config,dt_extract,dt_load,dt_load_to_dw,dt_last_update,dt_dim
424,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,55555,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
425,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,111111,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
426,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,55555,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
427,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,111111,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
416,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,55555,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
417,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,111111,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
418,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,55555,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
419,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,111111,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
407,MINIMA M7 7902/F961-M7 7902/F961,M7 7902/F961,MINIMA M7 7902/F961,6180000,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f961,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
324,RAY BAN RB7244-RB7244 53 2000,RB7244 53 2000,RAY BAN RB7244,4060000,RAYBAN,Nhựa/ kim loại,Chữ nhật,53-18-140,Trung,22,https://kinhmatviettin.vn/products/ray-ban-rb7244-53-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
325,RAY BAN RB7217F-RB7217F 54 8266,RB7217F 54 8266,RAY BAN RB7217F,4260000,RAYBAN,Nhựa/ kim loại,Chữ nhật,52-18-140,Trung,13,https://kinhmatviettin.vn/products/ray-ban-rb7217f-54-8266,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
326,RAY BAN RB7211F-RB7211F 53 2000,RB7211F 53 2000,RAY BAN RB7211F,4060000,RAYBAN,Nhựa/ kim loại,Vuông,53-19-145,Trung,11,https://kinhmatviettin.vn/products/ray-ban-rb7211f-53-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
327,RAY BAN RB7149D-RB7149D 55 2000,RB7149D 55 2000,RAY BAN RB7149D,2660000,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-17-145,Trung,7,https://kinhmatviettin.vn/products/ray-ban-rb7149d-55-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
328,RAY BAN RB5421F-RB5421F 53 2000,RB5421F 53 2000,RAY BAN RB5421F,4860000,RAYBAN,Nhựa/ kim loại,Chữ nhật,53-19-145,Trung,25,https://kinhmatviettin.vn/products/ray-ban-rb5421f-53-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
329,RAY BAN RB5418F-RB5418F 54 2000,RB5418F 54 2000,RAY BAN RB5418F,4660000,RAYBAN,Nhựa/ kim loại,Chữ nhật,54-20-150,Trung,40,https://kinhmatviettin.vn/products/ray-ban-rb5418f-54-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
330,RAY BAN RB5406F-RB5406F 54 2000 /2034,RB5406F 54 2000 /2034,RAY BAN RB5406F,4060000,RAYBAN,Nhựa/ kim loại,Vuông,54-18-150,Trung,23,https://kinhmatviettin.vn/products/ray-ban-rb5406f-54-2000-1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
331,RAY BAN RB5403D-RB5403D 54 5725,RB5403D 54 5725,RAY BAN RB5403D,3830000,RAYBAN,Nhựa/ kim loại,Vuông,54-18-145,Trung,10,https://kinhmatviettin.vn/products/ray-ban-rb5403d-54-5725,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
332,RAY BAN RB5401D-RB5401D 50 2000,RB5401D 50 2000,RAY BAN RB5401D,4060000,RAYBAN,Nhựa/ kim loại,Tròn,50-20-145,Trung,2,https://kinhmatviettin.vn/products/ray-ban-rb5401d-50-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
333,RAY BAN RB5315D-RB5315D 55 2477,RB5315D 55 2477,RAY BAN RB5315D,2660000,RAYBAN,Nhựa/ kim loại,Chữ nhật,55-17-145,Trung,27,https://kinhmatviettin.vn/products/ray-ban-rb5315d-55-2477,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
334,RAY BAN RB5315D-RB5315D 55 2000,RB5315D 55 2000,RAY BAN RB5315D,2660000,RAYBAN,Nhựa,Chữ nhật,55-17-145,Trung,40,https://kinhmatviettin.vn/products/ray-ban-rb5315d-55-2000,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
335,SATOKOJI 1270-1270 50 C2,1270 50 C2,SATOKOJI 1270,895000,SATOKOJI,NNhựa/Titanium,Tròn,53-18-145,Nhật,260,https://kinhmatviettin.vn/products/satokoji-1270-50-c1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
336,GIANFRANCO LOTTI 18K SOLID GOLD GFL-018-GFL-018 54/17,GFL-018 54/17,GIANFRANCO LOTTI 18K SOLID GOLD GFL-018,119000000,GIANFRANCO,Vàng 18k nguyên khối,Chữ nhật,54-17-145,Nhật,1,https://kinhmatviettin.vn/products/gong-18k-solid-gold-gianfranco-lotti-gfl-018-5417,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
337,FURLA VFU635-VFU635 0700,VFU635 0700,FURLA VFU635,4200000,FURLA,Nhựa,Cánh bướm,54-15-140,Trung,9,https://kinhmatviettin.vn/products/furla-vfu635-06s8,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
338,FILA VFI219 0BLK-VFI219 0BLK,VFI219 0BLK,FILA VFI219 0BLK,2600000,FILA,Nhựa,Chữ nhật,53-18-145,Trung,1,https://kinhmatviettin.vn/products/fila-vfi219-0blk,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
339,PRADA VPR 13Z-D-VPR 13Z-D 56,VPR 13Z-D 56,PRADA VPR 13Z-D,8660000,PRADA,Nhựa,Chữ nhật,56-16-140,Ý,7,https://kinhmatviettin.vn/products/prada-vpr-13z-d-56-1ab1-1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
340,PRADA VPR 01WV-VPR 01WV 56,VPR 01WV 56,PRADA VPR 01WV,6860000,PRADA,Nhựa,Chữ nhật,56-18-145,Ý,6,https://kinhmatviettin.vn/products/prada-vpr-01wv-56-01g-1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
341,PRADA PR03YVF-PR03YVF 56 1AB1O1,PR03YVF 56 1AB1O1,PRADA PR03YVF,6860000,PRADA,Nhựa,Chữ nhật,56-17-150,Ý,3,https://kinhmatviettin.vn/products/prada-pr03yvf-56-1ab1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
342,PRADA OPR 20ZVF-OPR 20ZVF 56 16K1O1,OPR 20ZVF 56 16K1O1,PRADA OPR 20ZVF,9260000,PRADA,Nhựa,Cánh bướm,56-16-145,Ý,2,https://kinhmatviettin.vn/products/prada-opr-20zvf-56-16k1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
410,MINIMA M7 7902/F939-M7 7902/F939,M7 7902/F939,MINIMA M7 7902/F939,6666666,MINIMA,Titanium,Chữ nhật,54-19-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-7902f939,1,2024-12-02,2024-12-02,2024-12-02,2024-12-02,7276
411,MINIMA M7 2201/F961-M7 2201/F961,M7 2201/F961,MINIMA M7 2201/F961,8989899,MINIMA,Titanium,Phi công,52-18-148,Pháp,13,https://kinhmatviettin.vn/products/minima-m7-2201f961,1,2024-12-02,2024-12-02,2024-12-02,2024-12-02,7276
343,PRADA OPR 01ZVD-OPR 01ZVD 56,OPR 01ZVD 56,PRADA OPR 01ZVD,7060000,PRADA,Nhựa,Chữ nhật,56-17-145,Ý,4,https://kinhmatviettin.vn/products/prada-opr-01zvd-56-01ab1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
344,PRADA OPR 01SV-OPR 01SV 56,OPR 01SV 56,PRADA OPR 01SV,6860000,PRADA,Nhựa,Chữ nhật,56-17-145,Ý,1,https://kinhmatviettin.vn/products/prada-opr-01sv-56-1ab1o1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
345,VOGUE VO5378-VO5378 53 2986,VO5378 53 2986,VOGUE VO5378,3460000,VOGUE,Nhựa/Titanium,Chữ nhật,53-17-140,Trung,2,https://kinhmatviettin.vn/products/vogue-vo5378-53-2986,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
346,VOGUE VO5399D-VO5399D 53 W656,VO5399D 53 W656,VOGUE VO5399D,2660000,VOGUE,Nhựa/ Titanium,Vuông,53-17-145,Trung,2,https://kinhmatviettin.vn/products/vogue-vo5399d-53-w656,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
347,VOGUE VO5420-F-VO5420-F 54 W656/W44,VO5420-F 54 W656/W44,VOGUE VO5420-F,2860000,VOGUE,Nhựa/Kim loại,Chữ nhật,54-17-140,Trung,4,https://kinhmatviettin.vn/products/vogue-vo5420-f-54-w656,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
348,VOGUE VO5430-D-VO5430-D 53 W44,VO5430-D 53 W44,VOGUE VO5430-D,2660000,VOGUE,Nhựa/ Titanium,Đa giác,53-181140,Trung,19,https://kinhmatviettin.vn/products/vogue-vo5430-d-53-w44,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
349,VOGUE VO5451-F-VO5451-F 53 W44,VO5451-F 53 W44,VOGUE VO5451-F,2660000,VOGUE,Nhựa/ Titanium,Vuông,53-16-140,Trung,6,https://kinhmatviettin.vn/products/vogue-vo5451-f-53-w44,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
350,VOGUE VO5477-B-VO5477-B 52 W44,VO5477-B 52 W44,VOGUE VO5477-B,3860000,VOGUE,Nhựa/ Titanium,Chữ nhật,52-18-140,Trung,4,https://kinhmatviettin.vn/products/vogue-vo5477-b-52-w44,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
351,ARMANI EXCHANGE AX3077F-AX3077F 54 8158 /8333,AX3077F 54 8158 /8333,ARMANI EXCHANGE AX3077F,2860000,ARMANI EXCHANGE,Nhựa/Titanium,Chữ nhật,54-17-145,Trung,2,https://kinhmatviettin.vn/products/armani-exchangeax3077f-54-8158,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
352,ARMANI EXCHANGE AX3078F-AX3078F 53 8158,AX3078F 53 8158,ARMANI EXCHANGE AX3078F,2860000,ARMANI EXCHANGE,Titanium/ Nhựa,Mắt mèo,53-17-140,Trung,2,https://kinhmatviettin.vn/products/armani-exchange-ax3078f-53-8158,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
353,BENTLEY B-1919/2-B-1919/2  CEN1240,B-1919/2  CEN1240,BENTLEY B-1919/2,25000000,BENTLEY,Titanium/ Mạ vàng,Chữ nhật,54-19-140,Nhật,1,https://kinhmatviettin.vn/products/bentley-b-19192-col01-cen1240,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
354,BENTLEY B8028-B8028 COL.5 V808767,B8028 COL.5 V808767,BENTLEY B8028,26000000,BENTLEY,Titanium/ Mạ vàng,Chữ nhật,57-17-145,Nhật,1,https://kinhmatviettin.vn/products/bentley-b8028-col5-v808767,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
355,BENTLEY GOLD 18KT B007-B007 RG750,B007 RG750,BENTLEY GOLD 18KT B007,368500000,BENTLEY,Vàng 18K nguyên khối,Chữ nhật,53-18-145,Đức,1,https://kinhmatviettin.vn/products/bentley-gold-18kt-b007-rg750,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
356,TOMFORD TF5928DB-TF5928DB 53 001,TF5928DB 53 001,TOMFORD TF5928DB,9200000,TOMFORD,Nhựa /Titanium,Chữ nhật,53-19-145,ý,4,https://kinhmatviettin.vn/products/tomford-tf5928db-53-001,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
357,GUCCI GG1159OA-GG1159OA 56 002,GG1159OA 56 002,GUCCI GG1159OA,11900000,GUCCI,Nhựa /Kim loại,Chữ nhật,56-15-145,Ý,1,https://kinhmatviettin.vn/products/gucci-gg1159oa-56-002,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
358,GUCCI GG1159O-GG1159O 56 003,GG1159O 56 003,GUCCI GG1159O,11900000,GUCCI,Nhựa/ Kim loại,Chữ nhật,56-17-145,Ý,2,https://kinhmatviettin.vn/products/gucci-gg1159o-56-003,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
359,CHROME HEART SEXCEL BK/GP-BK/GP,BK/GP,CHROME HEART SEXCEL BK/GP,31500000,CHROME HEART,Mạ vàng,Chữ nhật,48-21-146,Nhật,1,https://kinhmatviettin.vn/products/chrome-heart-sexcel-bkgp-10625588,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
360,ZEISS ZS 40009-40009 55 F010,40009 55 F010,ZEISS ZS 40009,4600000,ZEISS,Titanium,Chữ nhật,55-18-140,Trung,1,https://kinhmatviettin.vn/products/zeiss-zs-40009-55-f010,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
361,CHOPARD VCHL46J-VCHL46J 55 0300,VCHL46J 55 0300,CHOPARD VCHL46J,21800000,CHOPARD,Mạ vàng,Chữ nhật,55-18-145,Trung,5,https://kinhmatviettin.vn/products/chopard-vchl46j-55-0300,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
362,CHOPARD VCHG43J-VCHG43J 58 COL.0594,VCHG43J 58 COL.0594,CHOPARD VCHG43J,18900000,CHOPARD,Mạ vàng,Chữ nhật,58-16-145,Trung,8,https://kinhmatviettin.vn/products/chopard-vchg43j-58-col0594,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
363,CHOPARD SOLIDGOLD 18K VCHG92J-VCHG92J 55 COL.0100,VCHG92J 55 COL.0100,CHOPARD SOLIDGOLD 18K VCHG92J,180000000,CHOPARD,Vàng 18k nguyên khối,Chữ nhật,55-18-145,Trung,1,https://kinhmatviettin.vn/products/chopard-solidgold-18k-vchg92j-55-col0100,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
364,LEE COOPER TF3421-TF3421 54 1M,TF3421 54 1M,LEE COOPER TF3421,3240000,LEECOOPER,Nhựa /Titanium,Chữ nhật,54-18-145,Trung,2,https://kinhmatviettin.vn/products/lee-cooper-tf3421-54-1m,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
365,LEE COOPER TF3264-TF3264 53 1M. 1M/2L,TF3264 53 1M. 1M/2L,LEE COOPER TF3264,3180000,LEECOOPER,Nhựa /Titanium,Vuông,53-19-145,Trung,3,https://kinhmatviettin.vn/products/lee-cooper-tf3264-1m,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
366,LEE COOPER TF3262-TF3262 53 1,TF3262 53 1,LEE COOPER TF3262,3180000,LEECOOPER,Nhựa /Titanium,Chữ nhật,53-18-145,Trung,14,https://kinhmatviettin.vn/products/lee-cooper-tf3262-53-1,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
367,POLICE VPLN17-VPLN17 54 0700,VPLN17 54 0700,POLICE VPLN17,3700000,POLICE,Nhựa / Titanium,Chữ nhật,54-17-145,Trung,5,https://kinhmatviettin.vn/products/police-vpln17-54-0700,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
368,POLICE VPLF80-VPLF80 0700,VPLF80 0700,POLICE VPLF80,4200000,POLICE,Nhựa/ Titanium,Chữ nhật,55-17-145,Trung,4,https://kinhmatviettin.vn/products/police-vplf80-0700,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
369,POLICE VPLF24J-VPLF24J 53 0302,VPLF24J 53 0302,POLICE VPLF24J,4100000,POLICE,Nhựa/Titanium,Chữ nhật,53-19-145,Trung,6,https://kinhmatviettin.vn/products/police-vplf24j-53-0302,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
370,POLICE VPLE32J-VPLE32J 0S15,VPLE32J 0S15,POLICE VPLE32J,3900000,POLICE,Titanium,Chữ nhật,53-18-145,Trung,4,https://kinhmatviettin.vn/products/police-vple32j-0s15,1,2024-12-02,2024-12-02,2024-12-02,9999-12-31,7276
